CIPCODE,CIPDESC,CIPDefinition
1614,Southeast Asian Languages  Literatures  and Linguistics  General.,A general program that focuses on one or more of the modern languages spoken in mainland Southeast Asia and the Indonesian and Philippines Archipelagoes  including  but not limited to  members of the Thai  Tibeto-Burman  and Malayo-Polynesian language families.
5119,Osteopathic Medicine/Osteopathy.,Deleted  Report under 51.1202
5121,Podiatric Medicine/Podiatry.,Deleted  Report under 51.1203
3401,Health-Related Knowledge and Skills.,A program that focuses on all facets of the mother's and father's roles in family planning  prenatal preparation and care  the birthing experience  post-natal care and the raising of children. This CIP code is not valid for IPEDS reporting.
5221,Telecommunications Management.,A program that prepares individuals to apply business skills to design  implement  and manage the voice  video  and data networking systems of organizations. Includes instruction in telecommunications concepts and technologies  network operations and management  wireless communications and mobile computing  cybersecurity  regulation and public policy  business practices and management  and written and oral communications.
5101,Chiropractic.,A program that prepares individuals for the independent professional practice of chiropractic  a health care and healing system based on the application of non-invasive treatments and spinal adjustments to alleviate health problems caused by vertebral misalignments affecting bodily function as derived from the philosophy of Daniel Palmer.  Includes instruction in the basic medical sciences  chiropractic theory and science  postural and spinal analysis  diagnostic radiology and ultrasound  adjustment technique  patient counseling  professional standards and ethics  and practice management.
4513,Sociology and Anthropology.,A program that combines sociology and anthropology to study how society is organized  the origins and development of social institutions  social change  social organizations  race  class  gender and culture.
3045,History and Language/Literature.,A program with a general synthesis of history and the language and literature of one or more countries or regions or a specialization which draws from history and the language and literature of one or more countries or regions. Includes instruction in historiography; historical research methods; linguistics; literature  philology; and studies of specific periods  issues and cultures.
2903,Military Applied Sciences.,A program that focuses on the application of systems engineering and system architecture to the design and construction of modern combat systems and their integration with each other  with host platforms and with other forces into network-centric warfighting systems.  Includes instruction in systems engineering  computer programming  chemical systems  biological systems  material systems  human factors  combat environments  sensor systems  threat and system risk assessment  conventional and unconventional weapons  combat simulation  reliability and maintenance  testing  engineering project management  strategic planning and applications to aerospace  ground  and naval combat systems.
408,Architectural History  Criticism  and Conservation.,A general program that focuses on the aesthetic  technical  and social development of the built environment and the architectural profession from earliest times to the present.  Includes instruction in the principles of architecture and related fields; art history; historiography of architecture; architectural theory and criticism; related aspects of the history of technology and social and economic history; and various period  cultural  and stylistic specializations.
6001,Dental Residency/Fellowship Programs.,A residency training program that prepares dentists in the diagnosis  and surgical and related treatment  of diseases  injuries  and defects involving both the functional and esthetic aspects of the hard and soft tissues of the head  mouth  teeth  gums  jaws  and neck. Includes treatment of problem wisdom teeth  facial pain  misaligned jaws  and reconstructive and dental implant surgery. This CIP code is not valid for IPEDS reporting.
1443,Biochemical Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the study of biochemical processes in living organisms  properties of biological materials  and processes using biochemical agents such as cells  enzymes  and antibodies. Includes instruction in biology  chemistry  physics  biochemistry  thermodynamics  fluid dynamics  bioprocesses  and chemical engineering.
104,Agricultural and Food Products Processing.,A program that prepares individuals to receive  inspect  store  process  and package agricultural products in the form of human food consumables  animal or plant food  or other industrial products.  Includes instruction in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles.
1444,Engineering Chemistry.,A program that focuses on the general application of chemical principles to the analysis and evaluation of engineering problems  such as development of electronic materials  solid-state science and technology  polymers  ceramics  and biomaterials. Includes instruction in physical chemistry  organic chemistry  materials science  chemical processes and systems  chemical reaction engineering  biochemical engineering  engineering mathematics  classical and modern physics  and computer science.
4999,Transportation and Materials Moving  Other.,Any instructional program in transportation and materials moving not listed above.
1424,Ocean Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of systems to monitor  control  manipulate and operate within coastal or ocean environments  such as underwater platforms  flood control systems  dikes  hydroelectric power systems  tide and current control and warning systems  and communications equipment; the planning and design of total systems for working and functioning in water or underwater environments; and the analysis of related engineering problems such as the action of water properties and behavior on physical systems and people  tidal forces  current movements  and wave motion.
1606,Modern Greek Language and Literature.,A program that focuses on the development and use of the Greek language in the period dating from the late 15th century to the present.  Includes instruction in modern Greek literature  current Greek dialects  and applications to business  science/technology  and other settings.
1438,Surveying Engineering.,A program that prepares individuals to apply scientific and mathematical principles to the determination of the location  elevations  and alignment of natural and manmade topographic features.  Includes instruction in property line location  surveying  surface measurement  aerial and terrestrial photogrammetry  remote sensing  satellite imagery  global positioning systems  computer applications  and photographic data processing.
6004,Medical Residency Programs - General Certificates.,Deleted  Report under 61
6126,Radiology Residency/Fellowship Programs.,A residency training program that prepares physicians to utilize x-ray  ionizing radiation  radionuclides  ultrasound  electromagnetic radiation  and image-guided intervention to diagnose and treat disease. One of two general certificates in the area of radiology. This CIP code is not valid for IPEDS reporting.
4514,Rural Sociology.,Deleted  Report under 45.1103
1299,Culinary  Entertainment  and Personal Services  Other.,Any instructional program in culinary  entertainment  and personal services not listed above.
1440,Paper Science and Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development  and manufacturing of pulp and paper products. Includes instruction in pulp and paper science  pulping and bleaching processes  paper structure and processes  pulp and paper manufacturing  coating technology  surface and colloid science  and fibers.
6003,Veterinary Residency/Fellowship Programs.,A residency training program that prepares veterinarians in the application of anesthesia for general and specialized surgery and obstetrics  critical animal care and the care of pain problems.  Includes instruction in surgical procedures  current monitoring procedures  fluid therapy  pain management  diagnostic and therapeutic procedures outside the operating room  and operating room safety. This CIP code is not valid for IPEDS reporting.
3602,Noncommercial Vehicle Operation.,A program that prepares individuals to fly aircraft for personal use  and qualifies individuals to sit for the FAA pilot's license examination.  Includes instruction in principles of aircraft design and performance; aircraft flight systems and controls; flight crew operations and procedures; radio communications and navigation procedures and systems; airways safety and traffic regulations; and governmental rules and regulations pertaining to piloting aircraft. This CIP code is not valid for IPEDS reporting.
1607,South Asian Languages  Literatures  and Linguistics  General.,A general program that focuses on one or more of the languages  literatures  and linguistics of the peoples of the Indian subcontinent and associated borderlands and island groups.
2801,Air Force ROTC  Air Science and Operations.,A program that introduces students to the theory and practice of air science  life in the U.S. Air Force  and prepares them for cadet status (Junior ROTC or JROTC) or for service as commissioned reserve or active duty officers (senior AFROTC or ROTC).  Programs are offered as adjuncts to regular high school or college instructional programs. This CIP code is not valid for IPEDS reporting.
4808,Boilermaking/Boilermaker.,A program that prepares individuals to apply technical knowledge and skills to fabricate and repair steam boiler components.  Includes instruction in principles of steam power  material selection  welding  riveting  sealing materials  pressure testing  pipefitting  and applicable codes and standards.
3301,Citizenship Activities.,A program that generally prepares individuals for citizenship  and focuses on how citizens may engage in civic activities. This CIP code is not valid for IPEDS reporting.
4204,Psychology  General.,A general program that focuses on the scientific study of individual and collective behavior  the physical and environmental bases of behavior  and the analysis and treatment of behavior problems and disorders.  Includes instruction in the principles of the various subfields of psychology  research methods  and psychological assessment and testing methods.
1441,Electromechanical Engineering.,A program that prepares individuals to apply scientific and mathematical principles to the problems associated with combining electrical and mechanical components with special emphasis on manufacturing and automated processes. Includes instruction in applied mechanics  instrumentation and monitoring  machine design  automated control techniques  fluid and thermal dynamics  circuit analysis  and solid state electronics.
3701,Personal Awareness and Self-Improvement.,A program that focuses on the knowledge and skills useful in becoming aware of one's feelings  using methods of assessing one's personal attributes  and being aware of how one is perceived by others. This CIP code is not valid for IPEDS reporting.
2706,Applied Statistics.,A program that focuses on the application of statistics to the solution of functional problems in fields such as business  engineering  medicine  and the applied sciences. Includes instruction in the principles in inference  probability theory  regression analysis  descriptive statistics  stochastic processes  Monte Carlo method  Bayesian statistics  non-parametric statistics  sampling theory  statistical computing  and statistical techniques.
4011,Physics and Astronomy.,A program that focuses on the scientific study of the theories that explain the fundamental structure of our world and the universe and which draws from physics and astronomy. Includes instruction in astronomy  calculus  cosmology  differential equations  electricity  magnetism  data analysis  physics  quantum mechanics  space science  spectroscopy  and thermal physics.
2803,Army ROTC  Military Science and Operations.,A program that introduces students to the theory and practice of military science  life in the U.S. Army  and prepares them for cadet status (Junior ROTC or JROTC) or for service as commissioned reserve or active duty officers (senior AROTC or ROTC).  Programs are offered as adjuncts to regular high school or college instructional programs. This CIP code is not valid for IPEDS reporting.
3029,Maritime Studies.,A program that focuses on the history  science  policy issues  and literature of the ocean. Includes instruction in maritime history  maritime law  maritime literature  oceanography  maritime security  and maritime politics.
5137,Energy and Biologically Based Therapies.,A program that prepares individuals to provide therapeutic care through the preparation and application of extracted essential oils from plants  including flowers (botanicals)  roots  berries  and bark.  Includes instruction in aromatherapy history and theory  basic physiology of absorption  aromachemistry  organic chemistry  botanical taxonomy  carrier oils  essential oils  extraction methods  blending techniques  application methods  safety  client consultation and treatment planning  business management  professional standards and ethics  and applicable regulations.
5134,Alternative and Complementary Medical Support Services.,A program that prepares individuals to provide pre-natal  natural birth  and immediate postpartum care to pregnant women in jurisdictions licensing direct (non-nursing) training for midwives.  Includes instruction in basic obstetrics  women's health  fetal development  childbirth education  maternal nutrition and health  labor support  natural childbirth  postpartum support  prebirth counseling and risk screening  management of obstetric emergencies  patient referral  applicable regulations  and professional standards and ethics.
1602,African Languages  Literatures  and Linguistics.,A program that focuses on one or more of the languages native to the African continent  including  but not limited to  Bantu languages  Nilo-Saharan languages  Niger-Congo languages  Khoisan languages  and the Chadic and Ethiopic languages of the Hamito-Semitic language family. Includes instruction in philology  dialects  and oral and written literatures.
1615,Turkic  Uralic-Altaic  Caucasian  and Central Asian Languages  Literatures  and Linguistics.,A program that focuses on the Turkish language in either or both of its pre-modern and modern variants. Includes instruction in philology; Ottoman Turkish; Modern Turkish; dialects; and applications to business  science/technology  and other settings.
5301,High School/Secondary Diploma Programs.,An instructional program that defines the prescribed minimum requirements specified by a state  province  or other jurisdiction for completion of  and graduation from an undifferentiated regular secondary school program representing 12 academic years of schooling intended for school-age students. This CIP code is not valid for IPEDS reporting.
4800,Precision Production Trades  General.,A program that generally prepares individuals to apply technical knowledge and skills in creating products using precision crafting and technical illustration.
6005,Medical Residency Programs - Subspecialty Certificates.,Deleted  Report under 61
1900,Work and Family Studies.,Moved from 19.0000 to 19.1001
1406,Ceramic Sciences and Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of inorganic non-metallic materials  such as porcelains  cements  industrial ceramics  ceramic superconductors  abrasive  and related materials and systems.
2806,Security Policy and Strategy.,A program that focuses on coercion theory  defense strategy  warfighting  and strategic operations in the context of joint or combined operations  coalitions  and overall national security.  May be offered at the advanced level and in the context of one or more armed forces  and may focus on various scenarios including campaign  theatre  joint  global and advanced strategy. This CIP code is not valid for IPEDS reporting.
3501,Interpersonal and Social Skills.,A general program that focuses on how to effectively interact with others in private  social and business settings. This CIP code is not valid for IPEDS reporting.
2805,Military Science and Operational Studies.,A program that focuses on the theory  doctrine and principles of airpower in the tactical and strategic contexts  as well as in conjunction with other armed forces.  Includes instruction in air warfighting  leadership and ethics  national security decisionmaking  strategic studies  global security  joint and coalition operations  and applicable regional or cultural studies and research methods. This CIP code is not valid for IPEDS reporting.
1434,Forest Engineering.,A program that prepares individuals to apply scientific  mathematical  and forestry principles to the design of mechanical devices and processes for efficient forest management  timber production and related forest logistics systems.  Includes instruction in forest products processing  forest management  forest harvesting  timber structure design  production analysis  road and bridge construction  vehicle adaptation and design  and harvesting equipment design.
1910,Work and Family Studies.,An introductory program that focuses on family and consumer science concepts and principles at the basic and vocational levels  and the various potential career paths open to interested students.  Includes instruction in career  community  and family connections; family and family/consumer resources; human development; interpersonal relationships; nutrition and wellness; parenting; and career possibilities in various related areas.
2308,English Language and Literature  General.,A general program that focuses on the English language  including its history  structure and related communications skills; and the literature and culture of English-speaking peoples.
6002,Dental Residency/Fellowship Program  Other.,Any dental residency or fellowship specialty program not listed above. This CIP code is not valid for IPEDS reporting.
4203,Psychology  General.,A general program that focuses on the scientific study of individual and collective behavior  the physical and environmental bases of behavior  and the analysis and treatment of behavior problems and disorders.  Includes instruction in the principles of the various subfields of psychology  research methods  and psychological assessment and testing methods.
6115,Orthopedic Surgery Residency/Fellowship Programs.,A residency training program that prepares physicians in the investigation  preservation  and restoration of the form and function of the extremities  spine and associated structures by medical  surgical and physical methods. This CIP code is not valid for IPEDS reporting.
3024,Intercultural/Multicultural and Diversity Studies.,A program that focuses on the dynamic social relations between and among majority and minority groups and different minority groups  and ways to promote mutual tolerance  inter-group cooperation  and the leadership and management of diverse groups and diversity issues in family  educational  recreational  and work settings.  Includes instruction in ethnic and cultural studies  group psychology  sociology  anthropology  conflict resolution  human services and resources  and applications to various functional environments.
2305,English Language and Literature  General.,A general program that focuses on the English language  including its history  structure and related communications skills; and the literature and culture of English-speaking peoples.
6124,Psychiatry Residency/Fellowship Programs.,A residency training program that prepares physicians in the diagnosis  treatment  and prevention of mental  emotional  behavioral and neurological disorders.  Includes instruction in psychotherapy  family counseling  referral  clinical diagnosis  and practice management. This CIP code is not valid for IPEDS reporting.
3070,Data Science.,A program that focuses on the analysis of large scale data sources from the interdisciplinary perspectives of applied statistics  computer science  data storage  data representation  data modeling  mathematics  and statistics. Includes instruction in computer algorithms  computer programming  data management  data mining  information policy  information retrieval  mathematical modeling  quantitative analysis  statistics  trend spotting  and visual analytics.
4216,Psychology  General.,A general program that focuses on the scientific study of individual and collective behavior  the physical and environmental bases of behavior  and the analysis and treatment of behavior problems and disorders.  Includes instruction in the principles of the various subfields of psychology  research methods  and psychological assessment and testing methods.
2101,Reserved.,Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting.
4207,Psychology  General.,A general program that focuses on the scientific study of individual and collective behavior  the physical and environmental bases of behavior  and the analysis and treatment of behavior problems and disorders.  Includes instruction in the principles of the various subfields of psychology  research methods  and psychological assessment and testing methods.
